ID,GlideNumber,Country,OtherCountry,lat,long,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
3959,,India,,30.1135,78.8529,31390.53,04/08/2012,06/08/2012,News,30,1200,Torrential Rain,1.5
3960,,India,,19.4398,82.3216,35689.54,03/08/2012,06/08/2012,News,0,2000,Monsoonal Rain,1
3961,,Sudan,,13.6223,22.6608,89290.09,04/08/2012,06/08/2012,News,5,800,Torrential Rain,1.5
3962,,Scotland,,55.5746,-2.59334,4260.88,04/08/2012,06/08/2012,News,0,0,Torrential Rain,1
3963,,China,,40.5195,122.594,9559.89,03/08/2012,06/08/2012,News,2,800000,Typhoons  Damrey and Saola,2
3964,,Nigeria,,7.42738,11.2812,16652.25,02/08/2012,06/08/2012,News,0,3000,Torrential Rain,1.5
3965,,China,,31.1602,103.73,107983.97,14/08/2012,20/08/2012,News,13,14600,Monsoonal Rain,1
3966,,India,,20.9855,82.7962,29689.98,16/08/2012,20/08/2012,News,1,210,Monsoonal Rain,1
3967,,Niger,,14.6081,3.88146,75976.73,06/08/2012,07/09/2012,News,52,125000,Heavy Rain,1.5
3968,FL-2012-000150-SDN,South Sudan,Sudan,9.69113,30.2188,456058.52,01/08/2012,29/08/2012,News,32,154000,Heavy Rain,1.5
3969,FL-000139-JPN,Japan,,34.6167,135.556,10669.97,12/08/2012,20/08/2012,News,3,1000,Torrential Rain,1.5
3970,,Myanmar,,16.5919,97.8535,219814.61,15/07/2012,29/08/2012,News,0,85000,Monsoonal Rain,1
3971,,Senegal,,14.462,-15.4943,79242.7,24/08/2012,29/08/2012,News,4,1200,Torrential Rain,1.5
3972,,Nigeria,,14.316,4.12488,48922.93,24/08/2012,29/08/2012,News,10,20000,Torrential Rain,1.5
3973,TC-2012-000152-HTI,Haiti,,19.1356,-72.2827,4904.1,25/08/2012,29/08/2012,News,19,15000,Tropical Storm Isaac,1.5
3974,FF-2012-000148-PAK,Pakistan,,35.0305,73.5222,98264.36,23/08/2012,29/08/2012,News,26,1200,Monsoonal Rain,1.5
